Name,Rank score,Rank Stdev (% out 2929)
CARDIAC ARREST,1.00,0.90
BONE CANCER METASTATIC,0.98,0.20
LEFT VENTRICULAR FAILURE,0.97,0.84
HIV INFECTION,0.97,0.81
ANAL CANCER,0.96,0.16
LUNG CANCER METASTATIC,0.96,1.25
HAEMORRHAGE INTRACRANIAL,0.95,2.92
CHRONIC MYELOID LEUKAEMIA,0.95,2.97
COMA,0.94,0.45
BREAST CANCER,0.94,1.18
MULTI-ORGAN FAILURE,0.94,3.30
CARDIOPULMONARY FAILURE,0.94,2.14
CARDIAC DEATH,0.94,2.19
CHRONIC LEUKAEMIA,0.94,1.66
CARDIO-RESPIRATORY ARREST,0.93,5.15
PULMONARY EMBOLISM,0.93,4.84
COMPLETED SUICIDE,0.93,4.14
METASTATIC RENAL CELL CARCINOMA,0.93,5.19
HEPATIC ANGIOSARCOMA,0.93,3.07
ANAPLASTIC THYROID CANCER,0.92,3.12
OVARIAN EPITHELIAL CANCER STAGE IV,0.91,12.62
SUDDEN CARDIAC DEATH,0.91,3.17
RIGHT VENTRICULAR FAILURE,0.91,3.12
AORTIC ANEURYSM RUPTURE,0.91,8.40
CARDIAC FAILURE ACUTE,0.91,2.07
CARDIAC FAILURE CHRONIC,0.91,4.63
THYROID CANCER,0.91,7.95
CHRONIC LYMPHOCYTIC LEUKAEMIA,0.90,1.35
VENTRICULAR FAILURE,0.90,7.14
B-CELL TYPE ACUTE LEUKAEMIA,0.90,1.72
BRONCHIOLOALVEOLAR CARCINOMA,0.90,7.61
ANEURYSM RUPTURED,0.89,11.42
RENAL CELL CARCINOMA,0.89,3.23
HAEMATOLOGICAL MALIGNANCY,0.89,1.36
ATRIOVENTRICULAR BLOCK COMPLETE,0.89,3.01
SKIN CANCER,0.89,1.21
MYOCARDIAL RUPTURE,0.89,2.59
PROSTATE CANCER METASTATIC,0.88,0.83
BRAIN OEDEMA,0.88,2.92
PULMONARY HAEMORRHAGE,0.88,2.33
INTRAVENTRICULAR HAEMORRHAGE,0.88,1.19
CEREBRAL HAEMATOMA,0.88,5.91
NECROTISING FASCIITIS,0.88,0.82
CEREBRAL ARTERY EMBOLISM,0.88,7.00
SUBARACHNOID HAEMORRHAGE,0.88,3.31
RENAL CORTICAL NECROSIS,0.88,11.99
ACUTE LYMPHOCYTIC LEUKAEMIA,0.88,3.93
SUDDEN INFANT DEATH SYNDROME,0.88,6.81
ASTROCYTOMA,0.88,16.32
STATUS EPILEPTICUS,0.88,8.21
TOXIC EPIDERMAL NECROLYSIS,0.87,9.91
PERIVENTRICULAR LEUKOMALACIA,0.87,1.63
OVARIAN CANCER,0.87,3.62
GASTRIC CANCER,0.87,1.25
ISCHAEMIC STROKE,0.87,1.09
MALIGNANT MELANOMA,0.87,10.45
VENTRICULAR DYSFUNCTION,0.87,6.16
LUNG NEOPLASM MALIGNANT,0.87,4.96
RECTAL CANCER,0.87,2.78
ACUTE PROMYELOCYTIC LEUKAEMIA,0.87,6.89
LARYNGEAL CANCER,0.87,2.32
ACUTE MYELOID LEUKAEMIA,0.87,8.60
CAROTID ARTERY THROMBOSIS,0.87,9.90
RESPIRATORY PARALYSIS,0.87,1.39
METASTASES TO LIVER,0.87,3.38
CARDIOMYOPATHY,0.87,5.48
ISCHAEMIC CEREBRAL INFARCTION,0.87,4.21
LARGE INTESTINE CARCINOMA,0.87,5.90
FOLLICULAR THYROID CANCER,0.87,22.45
AUTOIMMUNE HEPATITIS,0.87,5.90
TUBERCULOSIS,0.86,12.25
STILLBIRTH,0.86,4.38
PROGRESSIVE MULTIFOCAL LEUKOENCEPHALOPATHY,0.86,6.04
GASTROINTESTINAL STROMAL TUMOUR,0.86,5.07
ANEURYSM,0.86,2.02
CEREBRAL HAEMORRHAGE,0.86,0.81
GASTROINTESTINAL CARCINOMA,0.86,3.10
MESENTERIC ARTERY THROMBOSIS,0.86,3.17
BRAIN CANCER METASTATIC,0.86,0.51
NECROSIS,0.86,8.88
INTRA-UTERINE DEATH,0.86,13.66
AORTIC VALVE INCOMPETENCE,0.86,3.28
LARYNGEAL NEOPLASM,0.86,11.80
METASTASIS,0.86,1.70
TRANSPLANT REJECTION,0.86,7.65
PANCREATIC CARCINOMA,0.86,2.56
MYELOID LEUKAEMIA,0.86,2.16
RESPIRATORY FAILURE,0.86,4.60
RENAL FAILURE,0.86,4.61
CEREBROVASCULAR INSUFFICIENCY,0.86,12.42
LYMPHOCYTIC LEUKAEMIA,0.86,1.62
FIBROSARCOMA,0.86,3.72
CEREBRAL ISCHAEMIA,0.86,13.00
COMA HEPATIC,0.85,6.17
NON-SMALL CELL LUNG CANCER,0.85,0.74
PULMONARY THROMBOSIS,0.85,5.28
HEPATIC HAEMORRHAGE,0.85,6.89
ENDOMETRIAL CANCER,0.85,6.60
CARDIAC SEPTAL DEFECT,0.85,0.85
BONE MARROW NECROSIS,0.85,9.57
PAPILLARY THYROID CANCER,0.85,2.75
HEPATIC ENCEPHALOPATHY,0.85,10.80
MASTOCYTIC LEUKAEMIA,0.85,3.18
PROSTATE CANCER,0.84,7.69
CHORIOCARCINOMA,0.84,8.29
MULTIPLE MYELOMA,0.84,3.37
AMYOTROPHIC LATERAL SCLEROSIS,0.84,14.68
GALLBLADDER CANCER,0.84,4.57
ENCEPHALOCELE,0.84,4.33
ACUTE HEPATIC FAILURE,0.84,8.06
HYPOGLYCAEMIC COMA,0.84,11.80
ACUTE LEUKAEMIA,0.84,3.39
ANGIOSARCOMA,0.84,8.23
ASPHYXIA,0.84,9.91
METASTATIC NEOPLASM,0.84,7.79
CEREBRAL THROMBOSIS,0.84,13.19
HEAD AND NECK CANCER,0.84,3.48
CORONARY ARTERY OCCLUSION,0.84,25.34
CHROMOSOMAL DELETION,0.84,5.49
CENTRAL NERVOUS SYSTEM NEOPLASM,0.84,5.72
CEREBRAL INFARCTION,0.84,15.18
CARDIAC FAILURE CONGESTIVE,0.84,9.19
CHRONIC OBSTRUCTIVE PULMONARY DISEASE,0.84,1.05
ORGAN FAILURE,0.84,6.87
ELECTROMECHANICAL DISSOCIATION,0.84,9.52
TRANSPLANT FAILURE,0.84,1.81
SEPTIC SHOCK,0.84,8.12
CHRONIC ALLOGRAFT NEPHROPATHY,0.84,0.49
BONE SARCOMA,0.84,2.39
SARCOMA,0.84,5.39
ADENOCARCINOMA,0.84,2.36
HAEMORRHAGIC STROKE,0.84,3.64
MANTLE CELL LYMPHOMA,0.84,22.39
HAEMODYNAMIC INSTABILITY,0.83,7.09
GLIOBLASTOMA,0.83,10.07
REYES SYNDROME,0.83,4.43
DEMYELINATION,0.83,7.63
NEUROLEPTIC MALIGNANT SYNDROME,0.83,2.49
GLIOBLASTOMA MULTIFORME,0.83,9.93
DIFFUSE LARGE B-CELL LYMPHOMA,0.83,2.67
RESPIRATORY ARREST,0.83,10.07
LIVER TRANSPLANT REJECTION,0.83,5.45
HODGKINS DISEASE,0.83,3.08
NECROTISING COLITIS,0.83,3.08
RHEUMATIC HEART DISEASE,0.83,4.08
ACUTE MYOCARDIAL INFARCTION,0.83,17.03
VASCULAR PSEUDOANEURYSM,0.83,7.39
MYOCARDIAL ISCHAEMIA,0.83,4.41
CEREBRAL PALSY,0.83,2.38
QUADRIPLEGIA,0.83,0.90
HAEMORRHAGIC ANAEMIA,0.83,2.27
LYMPHOMA,0.83,0.68
CAROTID ARTERY OCCLUSION,0.83,17.26
HEPATIC FAILURE,0.83,12.43
HEPATORENAL SYNDROME,0.83,13.33
CENTRAL NERVOUS SYSTEM INFECTION,0.82,0.56
MESENTERIC OCCLUSION,0.82,22.24
NEUROBLASTOMA,0.82,4.26
ERYTHROLEUKAEMIA,0.82,5.00
ISCHAEMIC HEPATITIS,0.82,19.73
CARDIOGENIC SHOCK,0.82,2.17
PANCREATITIS NECROTISING,0.82,6.46
ANENCEPHALY,0.82,8.96
SMALL CELL LUNG CANCER STAGE UNSPECIFIED,0.82,5.95
GASTROINTESTINAL NEOPLASM,0.82,17.83
BURKITTS LYMPHOMA,0.82,6.92
NEPHROGENIC SYSTEMIC FIBROSIS,0.82,6.19
RENAL AGENESIS,0.82,5.89
ATRIOVENTRICULAR BLOCK,0.82,6.06
SUICIDE ATTEMPT,0.82,0.62
CARCINOMA IN SITU,0.82,10.33
ACQUIRED HAEMOPHILIA,0.81,3.81
BRONCHOPLEURAL FISTULA,0.81,11.87
HYDROPS FOETALIS,0.81,11.31
PERICARDIAL HAEMORRHAGE,0.81,19.24
RENAL TUBULAR NECROSIS,0.81,9.12
LUNG ADENOCARCINOMA STAGE I,0.81,20.96
BLINDNESS,0.81,21.16
HEPATITIS C,0.81,8.16
EOSINOPHILIC MYOCARDITIS,0.81,7.74
MYOCARDIAL INFARCTION,0.81,17.66
LOWER GASTROINTESTINAL HAEMORRHAGE,0.81,6.63
CONGENITAL CARDIOVASCULAR ANOMALY,0.81,16.08
ANOPHTHALMOS,0.81,10.64
HEPATITIS GRANULOMATOUS,0.81,17.74
UTERINE RUPTURE,0.81,7.66
HYPERAMMONAEMIA,0.80,3.40
RENAL FAILURE ACUTE,0.80,12.81
NEUROECTODERMAL NEOPLASM,0.80,5.78
MYELODYSPLASTIC SYNDROME,0.80,9.20
TRANSIENT ISCHAEMIC ATTACK,0.80,9.30
PULSELESS ELECTRICAL ACTIVITY,0.80,0.71
INTESTINAL STOMA COMPLICATION,0.80,15.87
PHAEOCHROMOCYTOMA,0.80,3.36
ACUTE RESPIRATORY FAILURE,0.80,25.67
BRAIN NEOPLASM,0.80,24.26
PARALYSIS,0.80,22.06
NEUROMYOPATHY,0.80,12.38
SCHIZOAFFECTIVE DISORDER,0.80,2.01
PITUITARY TUMOUR,0.80,2.65
CYSTIC FIBROSIS,0.79,13.65
SUBDURAL HAEMATOMA,0.79,5.84
AORTIC VALVE STENOSIS,0.79,3.36
SPINAL CORD INFARCTION,0.79,16.89
EPILEPSY,0.79,7.68
ENDOCARDIAL FIBROSIS,0.79,1.59
EMBOLISM ARTERIAL,0.79,9.88
AGRANULOCYTOSIS,0.79,8.16
HYPOVOLAEMIC SHOCK,0.79,13.15
NEURAL TUBE DEFECT,0.79,14.96
CEREBRAL VENOUS THROMBOSIS,0.79,4.35
LEUKAEMIA,0.79,6.41
TOXIC SHOCK SYNDROME,0.79,9.11
CARDIAC FAILURE,0.79,1.60
UTERINE CANCER,0.79,15.93
CHOREA,0.79,3.67
POTTERS SYNDROME,0.79,20.14
DIABETIC HYPEROSMOLAR COMA,0.79,9.02
SPINA BIFIDA,0.79,19.12
KIDNEY FIBROSIS,0.79,7.80
HAEMORRHAGE NEONATAL,0.79,0.91
GLOMERULONEPHRITIS RAPIDLY PROGRESSIVE,0.79,8.76
ARTERIAL THROMBOSIS,0.79,14.65
OESOPHAGEAL CARCINOMA,0.79,7.88
NEPHRITIC SYNDROME,0.79,6.69
INTESTINAL PERFORATION,0.79,5.53
ANAEMIA HAEMOLYTIC AUTOIMMUNE,0.79,7.73
NECROSIS ISCHAEMIC,0.79,2.67
CORONARY ARTERY DISEASE,0.79,6.25
DEMENTIA ALZHEIMERS TYPE,0.79,1.69
ATRIOVENTRICULAR BLOCK SECOND DEGREE,0.78,9.80
CHRONIC GRAFT VERSUS HOST DISEASE,0.78,19.24
CONGESTIVE CARDIOMYOPATHY,0.78,3.54
RUPTURED ECTOPIC PREGNANCY,0.78,9.35
OSTEONECROSIS OF JAW,0.78,18.36
POLIOMYELITIS,0.78,17.27
MULTIPLE ENDOCRINE ADENOMATOSIS,0.78,3.91
TRISOMY 18,0.78,5.02
VASCULAR DEMENTIA,0.78,7.78
LYMPHOPROLIFERATIVE DISORDER,0.78,4.55
CEREBROVASCULAR ACCIDENT,0.78,9.22
BLADDER CANCER,0.78,4.56
GASTROINTESTINAL PERFORATION,0.78,9.87
AUTOIMMUNE DISORDER,0.78,18.80
ENDOCRINE NEOPLASM,0.78,8.69
OPTIC ISCHAEMIC NEUROPATHY,0.78,6.82
HEPATIC NEOPLASM MALIGNANT,0.78,8.67
CORONARY ARTERY INSUFFICIENCY,0.78,18.75
DEMENTIA,0.78,3.67
COLORECTAL CANCER,0.78,12.07
TORSADE DE POINTES,0.78,19.85
LUNG ADENOCARCINOMA,0.78,13.77
INTRACRANIAL ANEURYSM,0.78,15.93
ACUTE PULMONARY OEDEMA,0.78,2.62
CEREBRAL ATROPHY,0.78,9.13
DEMENTIA WITH LEWY BODIES,0.78,7.35
ACQUIRED IMMUNODEFICIENCY SYNDROME,0.78,7.07
ARTERIOSCLEROSIS CORONARY ARTERY,0.78,22.90
BRAIN HYPOXIA,0.78,9.30
RENAL FAILURE CHRONIC,0.78,1.81
ENDOCARDITIS,0.78,9.31
LARGE INTESTINE PERFORATION,0.77,4.09
CARDIAC AMYLOIDOSIS,0.77,5.05
MESOTHELIOMA,0.77,7.29
ENDOCRINE NEOPLASM MALIGNANT,0.77,5.20
ISCHAEMIC CARDIOMYOPATHY,0.77,10.06
LEUKAEMIA CUTIS,0.77,16.47
VENTRICULAR SEPTAL DEFECT,0.77,16.75
SYSTEMIC LUPUS ERYTHEMATOSUS,0.77,4.90
CEREBROVASCULAR DISORDER,0.77,0.41
CEREBELLAR SYNDROME,0.77,17.46
MULTIPLE SCLEROSIS,0.77,0.88
MUSCULOSKELETAL DEFORMITY,0.77,0.41
GLOMERULONEPHROPATHY,0.77,4.84
SPINE MALFORMATION,0.77,23.78
DIABETIC COMA,0.77,4.37
ASEPTIC NECROSIS BONE,0.77,8.88
ANTERIOR SPINAL ARTERY SYNDROME,0.77,38.53
HEART DISEASE CONGENITAL,0.77,8.69
TRIFASCICULAR BLOCK,0.77,8.30
IDIOPATHIC PULMONARY FIBROSIS,0.77,8.83
SYSTEMIC INFLAMMATORY RESPONSE SYNDROME,0.77,9.78
HEREDITARY ANGIOEDEMA,0.77,6.60
ACUTE CORONARY SYNDROME,0.76,11.45
HIV TEST POSITIVE,0.76,3.53
BASAL CELL CARCINOMA,0.76,12.77
HAEMORRHAGIC DISORDER,0.76,7.45
HYPERTHERMIA MALIGNANT,0.76,8.91
PULMONARY INFARCTION,0.76,12.18
CARCINOID TUMOUR,0.76,5.21
PAROXYSMAL NOCTURNAL HAEMOGLOBINURIA,0.76,22.02
PULMONARY FIBROSIS,0.76,12.28
HEPATIC CIRRHOSIS,0.76,13.00
MEDIASTINUM NEOPLASM,0.76,9.83
HYPOPLASTIC ANAEMIA,0.76,16.80
MULTIPLE CONGENITAL ABNORMALITIES,0.76,12.10
THROMBOTIC MICROANGIOPATHY,0.76,10.49
NEPHROSCLEROSIS,0.76,2.75
ENDOMETRIAL NEOPLASM,0.76,27.97
POLYCYTHAEMIA VERA,0.76,4.47
RHABDOMYOLYSIS,0.76,7.58
DIABETIC KETOACIDOSIS,0.76,11.71
BRAIN ABSCESS,0.76,5.58
TUMOUR NECROSIS,0.76,14.57
CRANIAL NERVE PARALYSIS,0.76,2.94
CONGENITAL CENTRAL NERVOUS SYSTEM ANOMALY,0.76,19.44
HEPATITIS CHOLESTATIC,0.76,19.96
MENINGITIS ASEPTIC,0.76,26.10
INTRACARDIAC THROMBUS,0.75,1.48
SICKLE CELL ANAEMIA WITH CRISIS,0.75,16.37
PULMONARY HYPOPLASIA,0.75,4.19
ENCEPHALOPATHY,0.75,7.66
CERVIX CARCINOMA,0.75,5.45
GASTRIC PERFORATION,0.75,17.34
APLASTIC ANAEMIA,0.75,13.19
GREY SYNDROME NEONATAL,0.75,7.48
INTESTINAL HAEMORRHAGE,0.75,1.41
PNEUMOCYSTIS CARINII INFECTION,0.75,4.18
CEREBRAL ARTERITIS,0.75,5.70
T-CELL LYMPHOMA,0.75,4.46
NOCARDIOSIS,0.75,24.81
CRANIAL NERVE DISORDER,0.75,5.11
ENCEPHALITIS,0.75,2.85
NEOPLASM PROSTATE,0.75,26.51
CAROTID ARTERY STENOSIS,0.75,4.76
MALIGNANT GLIOMA,0.75,12.05
PYODERMA GANGRENOSUM,0.75,3.31
OESOPHAGEAL VARICES HAEMORRHAGE,0.75,6.73
SINOATRIAL BLOCK,0.75,2.32
RENAL PAPILLARY NECROSIS,0.75,15.55
BLAST CELL CRISIS,0.75,22.56
HYPOGLYCAEMIC SEIZURE,0.75,3.68
TRANSFUSION REACTION,0.75,6.80
GASTROINTESTINAL FISTULA,0.75,4.05
KAPOSIS SARCOMA AIDS RELATED,0.75,4.58
GASTRIC HAEMORRHAGE,0.75,8.28
KAPOSIS SARCOMA,0.75,25.50
ENCEPHALITIS CYTOMEGALOVIRUS,0.74,2.53
MALIGNANT OVARIAN CYST,0.74,14.24
MYOCLONIC EPILEPSY,0.74,18.12
ADRENAL HAEMORRHAGE,0.74,11.63
TUMOUR INVASION,0.74,5.34
MYOCARDITIS,0.74,4.50
MALIGNANT HISTIOCYTOSIS,0.74,18.11
SARCOMA UTERUS,0.74,12.40
DIASTOLIC DYSFUNCTION,0.74,0.69
HEPATITIS VIRAL,0.74,2.17
RETROPERITONEAL FIBROSIS,0.74,26.05
PERICARDIAL EFFUSION,0.74,9.50
HEPATITIS B,0.74,19.84
PARAPLEGIA,0.74,10.22
NEUTROPENIC COLITIS,0.74,8.65
HEPATOSPLENOMEGALY,0.74,0.58
HEPATIC ARTERY THROMBOSIS,0.74,13.11
POST TRANSPLANT LYMPHOPROLIFERATIVE DISORDER,0.74,1.81
GUILLAIN-BARRE SYNDROME,0.74,6.92
CARDIAC VALVE DISEASE,0.74,12.13
UPPER GASTROINTESTINAL HAEMORRHAGE,0.74,9.22
PERICARDITIS CONSTRICTIVE,0.74,3.31
WHITE BLOOD CELL DISORDER,0.74,1.88
CEREBRAL ARTERIOSCLEROSIS,0.74,22.73
MITOCHONDRIAL TOXICITY,0.74,4.30
MENINGOCELE,0.74,10.55
CARDIAC DISORDER,0.74,6.79
HAEMOLYTIC URAEMIC SYNDROME,0.74,5.55
PNEUMONIA ASPIRATION,0.74,13.20
IMMUNE RECONSTITUTION SYNDROME,0.74,3.76
EPSTEIN-BARR VIRUS INFECTION,0.74,13.55
PULMONARY VALVE INCOMPETENCE,0.74,21.71
KERATITIS HERPETIC,0.73,23.04
SQUAMOUS CELL CARCINOMA,0.73,3.50
PURPURA FULMINANS,0.73,4.96
GENITOURINARY TRACT NEOPLASM,0.73,23.94
RENAL TUBULAR DISORDER,0.73,5.52
SPINAL CORD COMPRESSION,0.73,14.84
BONE MARROW DEPRESSION,0.73,6.40
MITRAL VALVE DISEASE,0.73,15.64
VENTRICULAR FIBRILLATION,0.73,8.45
EHLERS-DANLOS SYNDROME,0.73,5.62
GANGRENE,0.73,5.78
TACHYCARDIA FOETAL,0.73,22.62
CORONARY ARTERY THROMBOSIS,0.73,6.41
ALVEOLAR PROTEINOSIS,0.73,6.63
LOEFFLERS SYNDROME,0.73,8.60
ATAXIA TELANGIECTASIA,0.73,17.63
LEFT VENTRICULAR DYSFUNCTION,0.73,10.22
RENAL APLASIA,0.73,5.42
PSYCHOTIC DISORDER,0.73,9.63
GASTROINTESTINAL DYSPLASIA,0.73,5.24
AORTIC STENOSIS,0.73,1.25
FALLOTS TETRALOGY,0.73,11.46
CYSTITIS HAEMORRHAGIC,0.73,19.04
VASCULITIS NECROTISING,0.73,8.49
CATATONIA,0.73,41.55
PANCREATIC NECROSIS,0.73,16.39
CERVIX CARCINOMA STAGE 0,0.73,9.15
MENTAL RETARDATION,0.73,27.35
MYELOFIBROSIS,0.73,22.37
SUICIDAL BEHAVIOUR,0.73,8.54
HEPATIC FIBROSIS,0.73,7.34
HEPATIC NECROSIS,0.73,10.89
MUSCLE NECROSIS,0.73,13.94
GLOMERULONEPHRITIS MEMBRANOUS,0.73,12.73
AORTIC ANEURYSM,0.73,2.44
PNEUMOCYSTIS JIROVECI PNEUMONIA,0.73,3.43
PSYCHOMOTOR RETARDATION,0.73,17.59
CEREBELLAR ATAXIA,0.73,4.88
HEPATIC ECHINOCOCCIASIS,0.73,8.87
COR PULMONALE,0.73,8.81
RETROPERITONEAL HAEMORRHAGE,0.72,23.84
BONE NEOPLASM,0.72,5.65
UROGENITAL DISORDER,0.72,13.10
ANGIOPATHY,0.72,15.66
ALVEOLITIS FIBROSING,0.72,12.23
LACUNAR INFARCTION,0.72,5.93
PANCREATITIS HAEMORRHAGIC,0.72,5.66
ATRIAL HYPERTROPHY,0.72,4.46
ACUTE RESPIRATORY DISTRESS SYNDROME,0.72,10.61
MENINGITIS,0.72,15.16
CEREBROSPINAL FLUID RHINORRHOEA,0.72,9.49
THYROTOXIC CRISIS,0.72,4.92
PARAPARESIS,0.72,24.80
OESOPHAGEAL OBSTRUCTION,0.72,5.27
EMBOLISM,0.72,5.33
RILEY-DAY SYNDROME,0.72,3.72
OESOPHAGEAL HAEMORRHAGE,0.72,14.07
HEMIPLEGIA,0.72,0.92
PYELONEPHRITIS ACUTE,0.72,29.42
HEPATOMEGALY,0.72,14.37
HEPATITIS FULMINANT,0.72,7.40
FOETAL DISTRESS SYNDROME,0.72,14.19
GASTROINTESTINAL HAEMORRHAGE,0.72,22.57
ATRIOVENTRICULAR BLOCK FIRST DEGREE,0.72,13.06
PNEUMONIA KLEBSIELLA,0.72,25.65
RENAL ARTERY STENOSIS,0.72,4.87
PHENYLKETONURIA,0.71,9.46
ATHEROSCLEROSIS,0.71,8.40
ECLAMPSIA,0.71,23.20
ARRHYTHMIA SUPRAVENTRICULAR,0.71,16.05
ISCHAEMIC NEUROPATHY,0.71,21.85
AUTOIMMUNE THROMBOCYTOPENIA,0.71,0.69
REVERSIBLE ISCHAEMIC NEUROLOGICAL DEFICIT,0.71,7.03
SPINAL CORD DISORDER,0.71,2.26
LEFT ATRIAL HYPERTROPHY,0.71,10.71
CEREBROSPINAL FLUID LEAKAGE,0.71,10.36
GLOMERULONEPHRITIS,0.71,42.60
BLADDER NEOPLASM,0.71,12.83
ARGININOSUCCINATE SYNTHETASE DEFICIENCY,0.71,35.35
HEPATITIS,0.71,6.79
CRYPTOCOCCOSIS,0.71,5.49
PNEUMOCONIOSIS,0.71,9.42
PHARYNGEAL HAEMORRHAGE,0.71,3.70
NEOPLASM MALIGNANT,0.71,12.47
CARDIAC FIBRILLATION,0.71,4.94
OSTEOGENESIS IMPERFECTA,0.71,33.19
SEPSIS,0.71,11.08
MYCOBACTERIUM AVIUM COMPLEX INFECTION,0.71,16.94
VITH NERVE PARALYSIS,0.71,12.58
RENAL VASCULITIS,0.71,14.46
ISCHAEMIA,0.71,24.23
CHRONIC HEPATITIS,0.71,13.46
PITUITARY INFARCTION,0.71,2.67
PELVIC NEOPLASM,0.71,14.44
LIVER ABSCESS,0.71,17.18
AORTIC DISORDER,0.71,3.31
MENINGITIS CRYPTOCOCCAL,0.71,8.70
PELVIC INFECTION,0.71,4.87
GRAFT VERSUS HOST DISEASE,0.70,9.07
PERITONEAL HAEMORRHAGE,0.70,24.29
SKULL MALFORMATION,0.70,5.81
BRONCHOPNEUMONIA,0.70,15.27
OSTEONECROSIS,0.70,21.99
PROGRESSIVE SUPRANUCLEAR PALSY,0.70,6.28
INFARCTION,0.70,20.95
DIHYDROPYRIMIDINE DEHYDROGENASE DEFICIENCY,0.70,4.12
ARTERIOVENOUS FISTULA,0.70,9.47
EPIGLOTTITIS,0.70,14.90
HAEMORRHAGE URINARY TRACT,0.70,19.26
SYPHILIS,0.70,9.65
NEOPLASM,0.70,3.57
VENOOCCLUSIVE LIVER DISEASE,0.70,11.59
TYPE 1 DIABETES MELLITUS,0.70,6.06
LEUKOPENIA,0.70,23.88
OESOPHAGEAL NEOPLASM,0.70,4.33
PULMONARY MASS,0.70,3.88
CONVULSION NEONATAL,0.70,7.45
HYPOXIA,0.70,18.40
LYMPHATIC DISORDER,0.70,8.62
ARTERIOSCLEROSIS,0.70,22.63
PAPILLOEDEMA,0.70,13.70
LERICHE SYNDROME,0.70,3.54
CHRONIC OBSTRUCTIVE AIRWAYS DISEASE EXACERBATED,0.70,9.28
MONONEURITIS,0.70,8.55
IIIRD NERVE PARALYSIS,0.70,10.14
BECKERS MUSCULAR DYSTROPHY,0.70,14.48
DUODENAL ULCER PERFORATION,0.70,17.20
BILATERAL HYDRONEPHROSIS,0.70,3.13
PULSE ABSENT,0.70,13.09
CACHEXIA,0.70,22.09
DIABETIC AUTONOMIC NEUROPATHY,0.70,14.24
CARDIOVASCULAR DISORDER,0.70,9.82
BALTIC MYOCLONIC EPILEPSY,0.70,16.79
CAPILLARY LEAK SYNDROME,0.70,9.19
SEVERE ACUTE RESPIRATORY SYNDROME,0.70,16.95
ATRIAL SEPTAL DEFECT,0.70,2.98
NEUTROPENIC SEPSIS,0.69,11.30
LEUKOENCEPHALOPATHY,0.69,9.53
SUPERIOR VENA CAVA SYNDROME,0.69,9.64
THALASSAEMIA,0.69,1.83
LIMB REDUCTION DEFECT,0.69,2.69
ATELECTASIS,0.69,19.91
BILIARY FIBROSIS,0.69,28.52
DUODENAL ULCER HAEMORRHAGE,0.69,11.32
ARACHNOIDITIS,0.69,9.94
HEPATITIS CHRONIC ACTIVE,0.69,24.15
EVANS SYNDROME,0.69,8.31
SHOCK HAEMORRHAGIC,0.69,8.70
WHITE BLOOD CELL COUNT DECREASED,0.69,24.55
VAGINAL NEOPLASM,0.69,14.09
PARATHYROID TUMOUR,0.69,3.19
MALIGNANT URINARY TRACT NEOPLASM,0.69,6.38
HYDROCEPHALUS,0.69,14.25
SULPHAEMOGLOBINAEMIA,0.69,10.65
BRUGADA SYNDROME,0.69,17.32
GASTROINTESTINAL MALFORMATION,0.69,22.66
EXOMPHALOS,0.69,16.23
HEPATOBILIARY DISEASE,0.69,10.77
THROMBOCYTOPENIC PURPURA,0.69,7.74
CARDIAC HYPERTROPHY,0.69,12.31
EOSINOPHILIC PNEUMONIA,0.69,23.93
DEAFNESS PERMANENT,0.69,21.99
ARTERIAL STENOSIS,0.69,4.01
METABOLIC ENCEPHALOPATHY,0.69,5.40
CHOROIDAL DETACHMENT,0.68,4.46
CONNECTIVE TISSUE DISORDER,0.68,6.34
HEPATITIS ACUTE,0.68,12.72
MALIGNANT HYPERTENSION,0.68,29.61
BLOOD DISORDER,0.68,6.36
TRISOMY 21,0.68,23.30
