Name,Rank score,Rank Stdev (% out 2929)
CORONARY ARTERY STENOSIS,0.68,10.25
MONOPLEGIA,0.68,8.75
VENOUS THROMBOSIS,0.68,3.49
VENTRICULAR HYPERTROPHY,0.68,18.54
HYPOVOLAEMIA,0.68,1.25
ANOXIA,0.68,11.92
VASCULAR CALCIFICATION,0.68,19.60
LARGE INTESTINAL OBSTRUCTION,0.68,5.09
HEPATIC ADENOMA,0.68,29.32
GRAND MAL CONVULSION,0.68,13.21
MENTAL DISABILITY,0.68,5.74
COGWHEEL RIGIDITY,0.68,25.70
HYPOGAMMAGLOBULINAEMIA,0.68,11.65
UPPER AIRWAY OBSTRUCTION,0.68,8.75
APLASIA,0.68,5.79
IDIOPATHIC THROMBOCYTOPENIC PURPURA,0.68,19.33
TUMOUR LYSIS SYNDROME,0.68,14.42
CONGENITAL DIAPHRAGMATIC HERNIA,0.68,17.36
PERICARDITIS,0.68,0.50
GENITAL HAEMORRHAGE,0.68,16.62
TETANUS,0.68,18.72
LUNG NEOPLASM,0.68,6.87
PRINZMETAL ANGINA,0.67,13.50
CARCINOMA,0.67,4.05
BREAST NEOPLASM,0.67,9.34
CAECITIS,0.67,14.43
RETINAL DETACHMENT,0.67,9.15
NEPHROPATHY,0.67,21.93
NODULAR REGENERATIVE HYPERPLASIA,0.67,22.87
RETINOIC ACID SYNDROME,0.67,13.83
NEPHROPATHY TOXIC,0.67,6.62
GASTRIC ULCER HAEMORRHAGE,0.67,15.28
URETHRAL HAEMORRHAGE,0.67,0.54
GASTROINTESTINAL OBSTRUCTION,0.67,22.40
LYMPHOEDEMA,0.67,10.65
RETINAL ARTERY EMBOLISM,0.67,5.39
NEPHROGENIC DIABETES INSIPIDUS,0.67,19.90
MELKERSSON-ROSENTHAL SYNDROME,0.67,19.19
LUPUS-LIKE SYNDROME,0.67,7.41
PANCREATIC DISORDER,0.67,2.99
DUODENAL PERFORATION,0.67,17.14
EOSINOPHILIC PNEUMONIA ACUTE,0.67,10.37
KLINEFELTERS SYNDROME,0.67,10.47
DYSPLASIA,0.67,10.63
BLINDNESS UNILATERAL,0.67,3.34
PYRAMIDAL TRACT SYNDROME,0.67,19.68
BLINDNESS CORTICAL,0.67,23.54
ANAPHYLACTIC SHOCK,0.67,8.89
REVERSIBLE POSTERIOR LEUKOENCEPHALOPATHY SYNDROME,0.67,12.32
PATENT DUCTUS ARTERIOSUS,0.67,9.74
MYOPATHY,0.67,17.96
MENINGIOMA,0.67,8.71
SUBDURAL EFFUSION,0.67,3.19
HEPATITIS A,0.67,10.13
UTERINE NEOPLASM,0.67,16.58
ATYPICAL MYCOBACTERIAL INFECTION,0.67,13.49
GASTRIC ULCER PERFORATION,0.67,2.84
BRADYKINESIA,0.67,6.49
VASCULAR INSUFFICIENCY,0.67,10.91
PORPHYRIA ACUTE,0.67,1.64
IMMUNE SYSTEM DISORDER,0.67,16.72
INTERVERTEBRAL DISC DEGENERATION,0.67,24.82
ORGANISING PNEUMONIA,0.67,13.53
CYTOGENETIC ABNORMALITY,0.67,0.99
EROSIVE OESOPHAGITIS,0.67,6.83
VENTRICULAR FLUTTER,0.67,0.88
MACULAR DEGENERATION,0.66,20.81
ARTERIAL DISORDER,0.66,26.32
PHARYNGEAL LESION,0.66,10.36
RENAL INFARCT,0.66,11.22
INTESTINAL ISCHAEMIA,0.66,9.59
VASCULAR STENOSIS,0.66,12.43
VENTRICULAR HYPOKINESIA,0.66,5.16
PNEUMOCYSTIS CARINII PNEUMONIA,0.66,15.36
OBSTRUCTIVE AIRWAYS DISORDER,0.66,11.83
HOLT-ORAM SYNDROME,0.66,41.23
HYPERAMYLASAEMIA,0.66,30.38
MUCORMYCOSIS,0.66,17.84
EPIDERMAL NECROSIS,0.66,9.42
ALBRIGHTS DISEASE,0.66,7.10
UTERINE HAEMORRHAGE,0.66,8.11
HYPERKALAEMIA,0.66,18.53
PERIPHERAL ISCHAEMIA,0.66,1.41
ENDOCARDITIS BACTERIAL,0.66,24.21
PANCREATITIS ACUTE,0.66,5.89
THROMBOSIS,0.66,14.67
SENILE ANKYLOSING VERTEBRAL HYPEROSTOSIS,0.66,6.23
ABDOMINAL NEOPLASM,0.66,18.06
MYASTHENIC SYNDROME,0.66,18.45
MEDIASTINITIS,0.66,16.09
LUPUS MILIARIS DISSEMINATUS FACIEI,0.66,11.66
VENTRICULAR TACHYCARDIA,0.66,11.39
FOCAL SEGMENTAL GLOMERULOSCLEROSIS,0.66,13.66
CATHETER SEPSIS,0.66,10.41
GLIOMA,0.66,11.42
GLOMERULOSCLEROSIS,0.66,5.20
HENOCH-SCHONLEIN PURPURA,0.66,26.25
HEPATIC NEOPLASM,0.66,8.64
OPHTHALMOPLEGIA,0.66,12.03
MICROSOMIA,0.66,9.05
INTERSTITIAL LUNG DISEASE,0.66,7.97
TUMOUR FLARE,0.66,29.18
SUPRAVENTRICULAR TACHYCARDIA,0.66,2.03
MYASTHENIA GRAVIS,0.66,3.53
DEPRESSION SUICIDAL,0.66,9.75
PLEURAL INFECTION,0.66,5.34
PROCTITIS ULCERATIVE,0.66,21.80
VASOSPASM,0.66,6.33
PYELONEPHRITIS,0.66,22.40
UTERINE PERFORATION,0.66,3.94
HAEMOTHORAX,0.66,0.34
PLATELET DISORDER,0.66,12.30
DIARRHOEA HAEMORRHAGIC,0.66,19.06
CONDUCTION DISORDER,0.66,4.72
NEPHROTIC SYNDROME,0.65,14.04
NEUROFIBROMATOSIS,0.65,21.71
SIDEROBLASTIC ANAEMIA,0.65,6.77
EMPHYSEMA,0.65,15.90
NEUTROPENIA,0.65,31.27
GASTROINTESTINAL MOTILITY DISORDER,0.65,13.68
UROSEPSIS,0.65,11.44
MENINGITIS CHEMICAL,0.65,36.97
ESSENTIAL THROMBOCYTHAEMIA,0.65,2.73
PERIPHERAL MOTOR NEUROPATHY,0.65,3.19
LIMB DEFORMITY,0.65,15.53
RESPIRATORY ACIDOSIS,0.65,22.63
HYPERTROPHIC CARDIOMYOPATHY,0.65,13.40
DEEP VEIN THROMBOSIS,0.65,9.35
CONGENITAL GENITAL MALFORMATION,0.65,8.21
VENOOCCLUSIVE DISEASE,0.65,7.81
PARKINSONIAN GAIT,0.65,12.75
ACUTE GRAFT VERSUS HOST DISEASE,0.65,14.98
LYMPHOPENIA,0.65,8.88
PSEUDOMONAL SEPSIS,0.65,8.72
BRAIN NEOPLASM BENIGN,0.65,9.05
TRIGEMINAL NEURALGIA,0.65,12.24
LENNOX-GASTAUT SYNDROME,0.65,8.36
HYPERPATHIA,0.65,21.72
CONGENITAL MEGACOLON,0.65,21.22
ANTEPARTUM HAEMORRHAGE,0.65,24.65
NEPHRITIS,0.65,14.30
OESOPHAGEAL CANDIDIASIS,0.65,16.06
OPERATIVE HAEMORRHAGE,0.65,1.49
MYELOPROLIFERATIVE DISORDER,0.65,11.77
PULMONARY TOXICITY,0.65,20.13
FOETAL DISORDER,0.64,9.94
TERATOGENICITY,0.64,16.41
STEVENS-JOHNSON SYNDROME,0.64,8.14
ILEITIS,0.64,7.93
OVARIAN HAEMORRHAGE,0.64,9.72
RESPIRATORY TRACT INFECTION VIRAL,0.64,11.32
BUNDLE BRANCH BLOCK,0.64,18.00
HAEMORRHOIDAL HAEMORRHAGE,0.64,17.18
HAEMORRHAGE,0.64,21.10
SYNOSTOSIS,0.64,18.21
CHROMOSOME ABNORMALITY,0.64,20.61
HEMIANOPIA,0.64,10.13
CONGENITAL JOINT MALFORMATION,0.64,12.49
FIBROCYSTIC BREAST DISEASE,0.64,8.87
UMBILICAL CORD COMPRESSION,0.64,41.43
DIABETIC VASCULAR DISORDER,0.64,13.19
MYOPATHY TOXIC,0.64,3.50
RECTAL PROLAPSE,0.64,23.45
SICKLE CELL ANAEMIA,0.64,10.37
PSYCHOTIC BEHAVIOUR,0.64,2.70
PROCTALGIA,0.64,16.36
PELVIC FIBROSIS,0.64,0.42
NEOPLASM PROGRESSION,0.64,2.47
DYSPNOEA PAROXYSMAL NOCTURNAL,0.64,13.27
TUBULOINTERSTITIAL NEPHRITIS,0.64,5.74
MUSCLE ATROPHY,0.64,30.76
EPIDERMODYSPLASIA VERRUCIFORMIS,0.64,26.34
ULCER HAEMORRHAGE,0.64,6.90
CAUDA EQUINA SYNDROME,0.64,6.95
SARCOIDOSIS,0.64,14.87
PNEUMONIA STREPTOCOCCAL,0.64,7.57
THYROID NEOPLASM,0.64,13.51
PANCREATITIS CHRONIC,0.64,4.63
ARTERIOSPASM CORONARY,0.64,25.23
OSTEOMALACIA,0.64,9.57
HAEMATEMESIS,0.64,6.63
BRADYCARDIA FOETAL,0.64,6.01
APHAGIA,0.63,8.88
POST HERPETIC NEURALGIA,0.63,4.11
SUPRAVENTRICULAR EXTRASYSTOLES,0.63,11.92
APLASIA PURE RED CELL,0.63,25.77
LIVER DISORDER,0.63,6.52
MICROALBUMINURIA,0.63,9.71
INTERVERTEBRAL DISCITIS,0.63,30.26
ATAXIA,0.63,19.09
FUNGAEMIA,0.63,7.42
OVARIAN NEOPLASM,0.63,6.37
DEMYELINATING POLYNEUROPATHY,0.63,4.62
VAGINAL HAEMORRHAGE,0.63,7.11
ENDOPHTHALMITIS,0.63,0.94
EMPYEMA,0.63,1.47
DISEASE RECURRENCE,0.63,24.49
CARDIAC OUTPUT DECREASED,0.63,5.64
PANCREATITIS,0.63,12.10
RENAL MASS,0.63,12.57
APRAXIA,0.63,27.26
LUNG ABSCESS,0.63,26.03
CONGENITAL MUSCULOSKELETAL ANOMALY,0.63,32.75
PEPTIC ULCER HAEMORRHAGE,0.63,20.04
PERIPHERAL VASCULAR DISORDER,0.63,3.20
BECKWITH-WIEDEMANN SYNDROME,0.63,14.08
CARDIAC TAMPONADE,0.63,8.11
PERNICIOUS ANAEMIA,0.63,21.41
STICKLERS SYNDROME,0.63,12.39
PULMONARY OEDEMA,0.63,11.13
ANAL ATRESIA,0.63,14.13
BLOOD UREA ABNORMAL,0.63,9.78
CHORIORETINOPATHY,0.63,36.79
MYELITIS TRANSVERSE,0.63,10.31
DYSTONIA,0.63,7.78
INTESTINAL INFARCTION,0.63,19.93
VASCULAR OCCLUSION,0.63,9.26
CENTRAL LINE INFECTION,0.63,16.63
ABORTION SPONTANEOUS,0.63,24.78
GASTROINTESTINAL TOXICITY,0.63,11.02
THROMBOCYTOSIS,0.63,11.69
RHEUMATIC FEVER,0.63,8.85
DIPLEGIA,0.63,23.80
ANGINA UNSTABLE,0.63,8.35
MICROANGIOPATHY,0.63,14.53
RESPIRATORY MONILIASIS,0.63,4.35
LINEAR IGA DISEASE,0.63,12.36
HEPATOBLASTOMA,0.63,14.97
DIABETIC RETINOPATHY,0.62,16.43
SHOCK HYPOGLYCAEMIC,0.62,28.34
LIMB MALFORMATION,0.62,32.38
INTERVERTEBRAL DISC DISORDER,0.62,1.04
HEMIPARESIS,0.62,21.92
PATHOLOGICAL FRACTURE,0.62,11.39
GOUTY TOPHUS,0.62,29.65
HYPOTHERMIA,0.62,3.57
VAGINAL DYSPLASIA,0.62,12.17
MENIERES DISEASE,0.62,10.22
ANASTOMOTIC LEAK,0.62,28.89
JAUNDICE HEPATOCELLULAR,0.62,2.77
PORTAL VEIN THROMBOSIS,0.62,19.36
RETINITIS PIGMENTOSA,0.62,1.62
PERSISTENT GENERALISED LYMPHADENOPATHY,0.62,30.74
RENAL VESSEL DISORDER,0.62,12.82
VASOCONSTRICTION,0.62,22.44
METHAEMOGLOBINAEMIA,0.62,10.52
VIRAEMIA,0.62,6.71
POLYMYOSITIS,0.62,3.65
ANASTOMOTIC ULCER,0.62,1.30
FIBROMYALGIA,0.62,23.32
ATHETOSIS,0.62,17.65
OBLITERATIVE BRONCHIOLITIS,0.62,8.34
PYLORIC STENOSIS,0.62,22.39
DIABETES MELLITUS,0.62,36.28
PROSTATIC INTRAEPITHELIAL NEOPLASIA,0.62,11.96
PEPTIC ULCER PERFORATION,0.62,20.45
RENAL NEOPLASM,0.62,11.23
HAEMOLYSIS,0.62,51.91
COMPARTMENT SYNDROME,0.62,21.67
HERPES ZOSTER OPHTHALMIC,0.62,13.73
ATRIOVENTRICULAR DISSOCIATION,0.62,24.38
DEAFNESS,0.62,13.21
PELVIC HAEMATOMA,0.62,23.54
INSULINOMA,0.62,32.32
PARTIAL SEIZURES,0.62,3.17
HYPERTENSIVE CRISIS,0.62,1.19
SCROTAL HAEMATOMA,0.62,8.42
PEMPHIGOID,0.62,23.29
DYSENTERY,0.62,4.41
STATUS ASTHMATICUS,0.62,24.23
BRONCHIAL OBSTRUCTION,0.62,17.71
RENAL FUNCTION TEST ABNORMAL,0.61,17.45
PERIRECTAL ABSCESS,0.61,6.12
CARDIOSPASM,0.61,15.43
DISABILITY,0.61,18.67
MONOPARESIS,0.61,10.14
POSTPARTUM HAEMORRHAGE,0.61,13.46
RHEUMATOID ARTHRITIS,0.61,28.46
SPLENOMEGALY,0.61,24.99
OCCIPITAL NEURALGIA,0.61,15.23
UTERINE CYST,0.61,18.32
GENITAL HERPES,0.61,32.57
SALMONELLA SEPSIS,0.61,4.07
ALLERGIC MYOCARDITIS,0.61,4.88
ANAL HAEMORRHAGE,0.61,38.52
HEPATITIS B E ANTIGEN POSITIVE,0.61,12.90
RENAL TUBULAR ACIDOSIS,0.61,20.25
DISSEMINATED INTRAVASCULAR COAGULATION,0.61,5.70
PEPTIC ULCER REACTIVATED,0.61,4.79
MENINGITIS BACTERIAL,0.61,7.37
KETOACIDOSIS,0.61,21.58
OPTIC ATROPHY,0.61,15.92
PNEUMOTHORAX,0.61,3.67
PROSTATIC DISORDER,0.61,9.60
NEUTROPENIC INFECTION,0.61,12.17
MICROANGIOPATHIC HAEMOLYTIC ANAEMIA,0.61,29.52
OVARIAN ATROPHY,0.61,23.91
AMYLOIDOSIS,0.61,22.73
OESOPHAGITIS ULCERATIVE,0.61,15.84
ANAEMIA MEGALOBLASTIC,0.61,22.62
NONKETOTIC HYPERGLYCINAEMIA,0.61,4.19
BONE MARROW TOXICITY,0.61,3.28
FIBROSIS,0.61,11.82
VARICOCELE,0.61,16.91
PULMONARY ARTERIAL HYPERTENSION,0.61,20.04
PERONEAL NERVE PALSY,0.61,9.82
INFERIOR VENA CAVA SYNDROME,0.61,10.54
OVARIAN FAILURE,0.61,10.55
ILEUS PARALYTIC,0.61,14.15
INTESTINAL OBSTRUCTION,0.61,13.17
OSTEITIS,0.60,16.05
PNEUMONIA FUNGAL,0.60,7.34
FACIAL NERVE DISORDER,0.60,22.04
IMMUNOSUPPRESSION,0.60,19.78
ABDOMINAL MASS,0.60,17.59
TACHYCARDIA,0.60,26.06
LEUKOCYTOCLASTIC VASCULITIS,0.60,8.09
INTRA-ABDOMINAL HAEMATOMA,0.60,21.70
SEROSITIS,0.60,11.55
SPLENIC INFARCTION,0.60,21.54
HEPATITIS C ANTIBODY POSITIVE,0.60,16.72
ANKYLOSING SPONDYLITIS,0.60,2.23
TROPICAL SPASTIC PARESIS,0.60,17.67
BLINDNESS TRANSIENT,0.60,20.04
ARRHYTHMIA,0.60,7.89
SQUAMOUS CELL CARCINOMA OF SKIN,0.60,17.34
RETINAL DEGENERATION,0.60,17.05
OESOPHAGEAL ACHALASIA,0.60,34.87
DRUG WITHDRAWAL SYNDROME NEONATAL,0.60,15.74
BRADYCARDIA NEONATAL,0.60,8.34
SUBCUTANEOUS ABSCESS,0.60,14.68
CUTANEOUS LUPUS ERYTHEMATOSUS,0.60,4.69
TYPE 2 DIABETES MELLITUS,0.60,4.17
MEDIASTINAL DISORDER,0.60,10.38
RENAL ABSCESS,0.60,21.15
NERVE ROOT LESION,0.60,25.41
LYMPHATIC OBSTRUCTION,0.60,12.93
INFECTION PARASITIC,0.60,8.29
MENTAL IMPAIRMENT,0.60,17.99
SCLERODERMA,0.60,21.16
OCULOMUCOCUTANEOUS SYNDROME,0.60,2.33
ANAPHYLACTOID REACTION,0.60,7.12
THROMBOTIC THROMBOCYTOPENIC PURPURA,0.60,4.08
GRAFT DYSFUNCTION,0.60,2.32
PORTAL HYPERTENSION,0.60,31.00
OPTIC NERVE INFARCTION,0.60,2.17
SPINAL OSTEOARTHRITIS,0.60,4.05
REFRACTORY ANAEMIA,0.60,18.72
COMPRESSION FRACTURE,0.60,20.95
ABDOMINAL ABSCESS,0.60,16.66
DELIRIUM TREMENS,0.60,7.31
TRANSIENT GLOBAL AMNESIA,0.60,22.30
KERATOPATHY,0.60,22.31
MENOMETRORRHAGIA,0.60,35.09
POST THROMBOTIC SYNDROME,0.60,19.72
DIABETIC NEUROPATHY,0.60,0.21
HAEMOPTYSIS,0.60,7.00
OESOPHAGEAL ATRESIA,0.60,20.03
MENINGITIS VIRAL,0.60,3.29
HYPOPYON,0.60,14.10
MUSCLE HAEMORRHAGE,0.60,18.34
BRONCHOPNEUMOPATHY,0.60,17.95
HYPOURICAEMIA,0.60,9.52
OPISTHOTONUS,0.60,5.26
HOMICIDAL IDEATION,0.60,21.41
CORNEAL OEDEMA,0.60,18.75
POLYMYALGIA RHEUMATICA,0.59,8.19
HYPERTHERMIA,0.59,31.62
TUBERCULIN TEST POSITIVE,0.59,10.87
LARYNGOTRACHEAL OEDEMA,0.59,7.25
HYPERTHYROIDISM,0.59,21.29
LEUKAEMOID REACTION,0.59,27.78
INFLAMMATORY BOWEL DISEASE,0.59,15.00
DUODENITIS HAEMORRHAGIC,0.59,18.85
SUPERIOR SAGITTAL SINUS THROMBOSIS,0.59,27.17
SPONDYLITIS,0.59,9.75
HAEMARTHROSIS,0.59,15.55
PORPHYRIA,0.59,9.58
POSTOPERATIVE INFECTION,0.59,25.05
HYPOPITUITARISM,0.59,23.35
LOBAR PNEUMONIA,0.59,24.89
STRONGYLOIDIASIS,0.59,13.62
TARDIVE DYSKINESIA,0.59,12.31
AUTONOMIC NERVOUS SYSTEM IMBALANCE,0.59,10.70
AORTIC VALVE SCLEROSIS,0.59,16.68
APPENDICITIS,0.59,22.53
AUTISM SPECTRUM DISORDER,0.59,18.64
LYMPHOCYTOSIS,0.59,35.87
SINUS TACHYCARDIA,0.59,14.26
POSTURAL ORTHOSTATIC TACHYCARDIA SYNDROME,0.59,10.32
AUTISM,0.59,4.05
HERNIA CONGENITAL,0.59,7.30
NEONATAL DISORDER,0.59,12.72
ECTOPIC PREGNANCY,0.59,19.24
OSTEOCHONDROSIS,0.59,14.63
TACHYPNOEA,0.59,9.71
MYELITIS,0.59,15.26
COAGULOPATHY,0.59,13.25
AZOTAEMIA,0.59,11.38
GASTRITIS HAEMORRHAGIC,0.59,10.43
UPPER MOTOR NEURONE LESION,0.59,6.56
NEPHRITIS INTERSTITIAL,0.59,7.06
OSTEODYSTROPHY,0.59,21.34
POLYNEUROPATHY,0.59,6.87
VITREOUS HAEMORRHAGE,0.59,8.54
PAPILLARY MUSCLE RUPTURE,0.59,10.34
TACHYARRHYTHMIA,0.59,3.31
INTERVERTEBRAL DISC PROTRUSION,0.59,8.22
BASEDOWS DISEASE,0.59,11.25
CRYPTORCHISM,0.59,4.86
BUCCOGLOSSAL SYNDROME,0.59,9.04
BRONCHOPULMONARY ASPERGILLOSIS,0.59,16.85
DEVELOPMENTAL GLAUCOMA,0.59,39.13
LARYNGEAL OEDEMA,0.59,4.87
CORNEAL DEGENERATION,0.59,12.26
MICROVASCULAR ANGINA,0.59,11.48
COGNITIVE DETERIORATION,0.59,5.11
HEPATIC ENZYME ABNORMAL,0.59,2.84
RETINAL HAEMORRHAGE,0.59,11.17
CONVULSION,0.59,11.92
INGUINAL HERNIA,0.59,19.27
CYANOSIS,0.58,22.80
PULMONARY HYPERTENSION,0.58,27.01
HYDRONEPHROSIS,0.58,11.33
HYPOCHOLESTEROLAEMIA,0.58,19.36
ENDOMETRIOSIS,0.58,10.52
INTESTINAL ULCER,0.58,4.82
PSEUDOMEMBRANOUS COLITIS,0.58,16.20
MITRAL VALVE INCOMPETENCE,0.58,20.62
AMNIORRHEXIS,0.58,23.74
HYPERCHLORAEMIA,0.58,17.68
ALVEOLITIS,0.58,15.89
PANCREATIC PSEUDOCYST,0.58,26.76
WARM TYPE HAEMOLYTIC ANAEMIA,0.58,15.61
PNEUMATOSIS,0.58,21.24
HISTOPLASMOSIS,0.58,13.79
INFECTED CYST,0.58,16.67
OESOPHAGEAL ULCER,0.58,6.26
HYPOKINESIA,0.58,7.09
HIP DYSPLASIA,0.58,15.08
BONE LOSS,0.58,21.69
LARYNGOSPASM,0.58,18.15
THYROID ADENOMA,0.58,19.26
CHOROIDITIS,0.58,17.08
RENAL IMPAIRMENT,0.58,17.05
ACUTE PSYCHOSIS,0.58,29.65
PERIPHERAL SENSORY NEUROPATHY,0.58,10.04
CORNEAL LESION,0.58,22.99
RHYTHM IDIOVENTRICULAR,0.58,14.11
HEPATIC FUNCTION ABNORMAL,0.58,14.81
THROMBOCYTOPENIA,0.58,32.29
VULVAL ABSCESS,0.58,4.13
ABASIA,0.58,16.60
NEONATAL INFECTION,0.58,6.79
RETINAL VEIN OCCLUSION,0.58,14.84
POSTMENOPAUSAL HAEMORRHAGE,0.58,22.37
UMBILICAL HERNIA,0.58,14.71
HYPERPARATHYROIDISM SECONDARY,0.58,13.24
KIDNEY INFECTION,0.58,14.75
CONGENITAL GENITOURINARY ABNORMALITY,0.58,21.90
PERITONEAL ADHESIONS,0.58,8.38
GLOBAL AMNESIA,0.58,4.43
JAUNDICE CHOLESTATIC,0.58,6.07
APHASIA,0.58,21.43
ATRIAL TACHYCARDIA,0.58,8.09
RADICULOPATHY,0.58,3.24
VARICES OESOPHAGEAL,0.58,14.50
RENAL COLIC,0.58,13.89
ENDOMETRIAL HYPERPLASIA,0.58,4.18
PEYRONIES DISEASE,0.57,33.40
VESTIBULAR ATAXIA,0.57,21.87
SYSTEMIC MYCOSIS,0.57,10.40
STENT OCCLUSION,0.57,23.72
BACTERAEMIA,0.57,9.47
SUDDEN VISUAL LOSS,0.57,10.04
RICKETS,0.57,14.78
CHOKING,0.57,15.91
UTERINE DISORDER,0.57,29.18
CLONIC CONVULSION,0.57,25.73
LIVER FUNCTION TEST ABNORMAL,0.57,19.16
ELECTROCARDIOGRAM PR PROLONGATION,0.57,6.23
LEUKOCYTOSIS,0.57,6.61
GASTROINTESTINAL OEDEMA,0.57,34.23
SHOCK,0.57,28.59
ARTERIAL SPASM,0.57,15.25
DILATATION ATRIAL,0.57,33.61
NEUTROPHIL TOXIC GRANULATION PRESENT,0.57,29.80
SKIN NECROSIS,0.57,27.53
LYMPHOCELE,0.57,25.94
MEIBOMIANITIS,0.57,23.25
DEVELOPMENTAL COORDINATION DISORDER,0.57,10.41
DIABETIC FOOT INFECTION,0.57,15.08
ANGLE CLOSURE GLAUCOMA,0.57,4.55
RETINAL VASCULAR DISORDER,0.57,7.70
LEIOMYOMA,0.57,14.73
LYME DISEASE,0.57,9.02
ARTERIAL INSUFFICIENCY,0.57,22.36
PROCTOCOLITIS,0.57,17.14
CHONDRODYSTROPHY,0.57,6.61
PROTEIN-LOSING GASTROENTEROPATHY,0.57,10.82
TETANY,0.57,7.43
CARDIOMEGALY,0.57,7.08
NEURALGIA,0.57,20.05
ENDOMETRIAL HYPERTROPHY,0.57,12.07
OESOPHAGEAL PERFORATION,0.57,10.84
ANGIOMYOLIPOMA,0.57,8.27
OPTIC NEURITIS,0.57,2.38
OSTEOARTHRITIS,0.57,16.91
HYPERGAMMAGLOBULINAEMIA,0.57,16.49
STAPHYLOCOCCAL BACTERAEMIA,0.57,23.14
LUNG DISORDER,0.57,10.43
MIXED CONNECTIVE TISSUE DISEASE,0.57,10.74
ECHOCARDIOGRAM ABNORMAL,0.57,11.29
MYOCARDIAL DEPRESSION,0.57,13.84
PREMATURE RUPTURE OF MEMBRANES,0.57,15.71
POLYARTERITIS NODOSA,0.57,38.01
EXOPHTHALMOS,0.57,4.54
TESTICULAR ATROPHY,0.56,9.63
FALLOPIAN TUBE DISORDER,0.56,12.47
CHOLECYSTITIS,0.56,10.58
HYPERTENSIVE ENCEPHALOPATHY,0.56,12.46
COLITIS ULCERATIVE,0.56,14.89
TRACHEOSTOMY INFECTION,0.56,18.99
CARDIAC ENZYMES INCREASED,0.56,4.06
MOUTH HAEMORRHAGE,0.56,18.29
CHOLANGITIS,0.56,8.05
VERTICAL TALUS,0.56,4.79
RENOVASCULAR HYPERTENSION,0.56,18.42
HYPERCAPNIA,0.56,19.02
PITUITARY TUMOUR BENIGN,0.56,23.68
DIVERTICULITIS,0.56,9.34
EPIPHYSEAL DISORDER,0.56,13.10
PSEUDOLYMPHOMA,0.56,9.54
ENDOMETRIAL DISORDER,0.56,19.41
LYMPHADENOPATHY,0.56,9.50
COLITIS,0.56,32.09
SUICIDAL IDEATION,0.56,50.25
CHOLURIA,0.56,6.15
VITREOUS DISORDER,0.56,19.80
CANDIDA SEPSIS,0.56,10.36
COLLAGEN-VASCULAR DISEASE,0.56,7.22
SPONDYLOSIS,0.56,7.46
RENAL RICKETS,0.56,9.73
BLADDER OUTLET OBSTRUCTION,0.56,16.89
AMAUROSIS,0.56,12.95
DEAFNESS BILATERAL,0.56,22.84
STREPTOCOCCAL INFECTION,0.56,9.20
PERITONEAL INFECTION,0.56,0.93
GASTRIC POLYPS,0.56,4.96
THROMBOPHLEBITIS,0.56,11.59
PROSTATIC ADENOMA,0.56,6.65
RETINAL VASCULAR OCCLUSION,0.56,9.13
ANORECTAL DISORDER,0.56,22.11
PHLEBOSCLEROSIS,0.56,8.32
KYPHOSIS,0.56,13.00
NODAL ARRHYTHMIA,0.56,4.73
MUSCULOSKELETAL PAIN,0.56,17.93
PERIODONTITIS,0.56,11.19
TOURETTES DISORDER,0.56,6.45
CORNEAL EROSION,0.56,17.01
DIVERTICULUM INTESTINAL,0.56,13.24
CONGENITAL ANOMALY,0.56,46.53
PLEURISY,0.56,47.25
SYSTEMIC LUPUS ERYTHEMATOSUS RASH,0.56,22.93
PETIT MAL EPILEPSY,0.56,21.41
MICROCEPHALY,0.56,14.72
TUMOUR PAIN,0.56,3.75
