Name,Rank score,Rank Stdev (% out 2929)
BORDERLINE PERSONALITY DISORDER,0.56,9.81
ENTEROCOLITIS,0.56,5.44
DUODENAL ULCER,0.55,8.79
HEMIPLEGIA TRANSIENT,0.55,9.04
IMMUNODEFICIENCY,0.55,17.04
FONTANELLE BULGING,0.55,12.47
POSTOPERATIVE WOUND INFECTION,0.55,14.63
SINUS BRADYCARDIA,0.55,18.07
GASTRIC ULCER,0.55,3.76
COMPLICATION OF PREGNANCY,0.55,3.94
AMAUROSIS FUGAX,0.55,4.29
TESTICULAR DISORDER,0.55,22.62
ULCERATIVE KERATITIS,0.55,27.46
MEGACOLON,0.55,14.82
UTERINE CERVICAL EROSION,0.55,14.12
PULMONARY EOSINOPHILIA,0.55,26.00
ADRENAL INSUFFICIENCY,0.55,4.15
BLADDER NECK OBSTRUCTION,0.55,7.01
EXTRAPYRAMIDAL DISORDER,0.55,13.49
CARDIAC FLUTTER,0.55,8.75
BALANITIS,0.55,7.18
POST-TRAUMATIC STRESS DISORDER,0.55,4.65
STAPHYLOCOCCAL INFECTION,0.55,4.49
DIVERTICULUM,0.55,3.60
DIAPHRAGMATIC HERNIA,0.55,15.71
PULMONARY CONGESTION,0.55,17.42
ANAL PRURITUS,0.55,16.70
MICROCYTIC ANAEMIA,0.55,18.04
NEUROLOGICAL SYMPTOM,0.55,17.60
ECTROPION OF CERVIX,0.55,13.83
MUSCULOSKELETAL DISORDER,0.55,19.58
URETHRAL OBSTRUCTION,0.55,18.46
DYSPHASIA,0.55,14.53
GRANULOCYTOSIS,0.55,6.79
PARALYSIS FLACCID,0.55,8.50
FANCONI SYNDROME,0.55,12.36
OEDEMA PERIPHERAL,0.55,4.91
POLYCYTHAEMIA,0.55,13.48
INTRACRANIAL PRESSURE INCREASED,0.55,27.27
OEDEMA GENITAL,0.55,13.17
NEOVASCULARISATION,0.55,17.15
PROLACTINOMA,0.55,8.33
LUNG INFILTRATION,0.55,17.58
DIABETES INSIPIDUS,0.55,20.84
LUNG INFECTION,0.55,4.29
VENTRICULAR ARRHYTHMIA,0.55,0.72
BREAST MASS,0.55,26.74
NEUROMA,0.55,29.01
MENINGISM,0.55,6.49
INTUSSUSCEPTION,0.55,10.01
NEURITIS,0.55,10.82
DERMOID CYST OF OVARY,0.55,15.34
LEUKOPLAKIA,0.54,9.49
HYPOCHLORAEMIA,0.54,2.84
PNEUMATOSIS CYSTOIDES INTESTINALIS,0.54,29.57
ANTEROGRADE AMNESIA,0.54,4.68
URETHRAL DISORDER,0.54,6.68
SCHIZOPHRENIA,0.54,2.73
GYNAECOMASTIA,0.54,8.05
BULLOUS IMPETIGO,0.54,33.87
MYXOEDEMA,0.54,3.63
PARATHYROID DISORDER,0.54,4.32
BONE DENSITY DECREASED,0.54,8.75
BENIGN PROSTATIC HYPERPLASIA,0.54,19.48
DEFORMITY,0.54,14.36
EPIDERMOLYSIS,0.54,10.74
OPTIC NERVE DISORDER,0.54,23.00
OESOPHAGEAL STENOSIS,0.54,11.27
NOCTURNAL DYSPNOEA,0.54,13.42
ORAL NEOPLASM,0.54,26.48
OVARIAN CYST,0.54,11.37
HYPOPROTHROMBINAEMIA,0.54,18.11
AKINESIA,0.54,7.36
HAEMOLYTIC ANAEMIA,0.54,21.35
COLITIS ISCHAEMIC,0.54,6.68
WOUND HAEMORRHAGE,0.54,15.87
PRIMARY HYPOTHYROIDISM,0.54,24.53
PROSTATIC SPECIFIC ANTIGEN INCREASED,0.54,11.23
HYPERTONIA,0.54,34.39
ALKALOSIS HYPOKALAEMIC,0.54,47.42
OSTEOARTHROPATHY,0.54,24.75
COLONIC PSEUDO-OBSTRUCTION,0.54,6.75
BONE LESION,0.54,7.64
GLAUCOMA,0.54,23.91
ELECTROCARDIOGRAM QT SHORTENED,0.54,11.95
ALLERGIC GRANULOMATOUS ANGIITIS,0.54,24.47
NORMAL PRESSURE HYDROCEPHALUS,0.54,22.68
INFERTILITY,0.54,15.56
ABDOMINAL ADHESIONS,0.54,8.48
MONOCLONAL GAMMOPATHY,0.54,4.78
INFECTIVE MYOSITIS,0.54,43.49
GROWTH RETARDATION,0.54,15.11
RECTAL HAEMORRHAGE,0.54,28.65
GASTROINTESTINAL DISORDER,0.54,19.16
HEPATOCELLULAR INJURY,0.54,15.09
INTENTION TREMOR,0.54,15.43
TRISMUS,0.54,23.80
PNEUMONIA CYTOMEGALOVIRAL,0.54,6.18
VAGINAL ULCERATION,0.54,15.12
POLYCYSTIC OVARIES,0.54,13.75
PANCYTOPENIA,0.54,22.26
PHARYNGEAL DISORDER,0.54,23.60
URETERITIS,0.54,25.05
RETROGRADE AMNESIA,0.54,3.53
CERVIX NEOPLASM,0.54,8.81
HYPOCHROMIC ANAEMIA,0.53,10.36
CALCINOSIS,0.53,14.95
GASTROOESOPHAGEAL REFLUX DISEASE,0.53,19.79
METABOLIC DISORDER,0.53,4.24
BONE DEVELOPMENT ABNORMAL,0.53,38.49
PLEUROPERICARDITIS,0.53,13.77
HYPERPHOSPHATAEMIA,0.53,8.05
ARTHRITIS INFECTIVE,0.53,7.66
PAROTID GLAND ENLARGEMENT,0.53,27.81
SYNCOPE VASOVAGAL,0.53,37.49
DEAFNESS NEUROSENSORY,0.53,12.85
POLYP COLORECTAL,0.53,15.29
OSTEOSCLEROSIS,0.53,18.43
CRYPTOSPORIDIOSIS INFECTION,0.53,3.03
SCROTAL OEDEMA,0.53,3.57
MYOFASCIAL PAIN SYNDROME,0.53,4.65
METAPLASIA,0.53,17.86
SPLEEN PALPABLE,0.53,2.11
OSTEOMYELITIS,0.53,30.73
ATROPHY,0.53,20.11
ADRENAL DISORDER,0.53,7.56
NASOPHARYNGEAL DISORDER,0.53,19.69
BASOPHILIA,0.53,4.77
RED BLOOD CELL ABNORMALITY,0.53,10.58
GRAFT LOSS,0.53,47.70
EJECTION FRACTION DECREASED,0.53,6.37
HAEMATOMA,0.53,23.35
IRITIS,0.53,17.45
QUADRIPARESIS,0.53,3.08
METABOLIC ALKALOSIS,0.53,15.32
MACULAR HOLE,0.53,23.80
POLYARTHRITIS,0.53,8.75
TRANSAMINASES INCREASED,0.53,6.27
GINGIVAL HYPERPLASIA,0.53,15.29
PNEUMONIA BACTERIAL,0.53,1.46
RETINAL TOXICITY,0.53,15.03
HYPERCALCAEMIA,0.53,3.91
VASCULAR GRAFT OCCLUSION,0.53,15.06
TOXOPLASMOSIS,0.53,4.10
MAJOR DEPRESSION,0.53,8.56
DRUG HYPERSENSITIVITY,0.53,10.96
HYPERTRIGLYCERIDAEMIA,0.53,19.03
CORNEAL ULCER,0.53,4.04
PELVIC PERITONEAL ADHESIONS,0.53,17.72
HYPERMETHIONINAEMIA,0.53,19.78
EXTRADURAL ABSCESS,0.53,13.47
VENTRICULAR EXTRASYSTOLES,0.53,7.79
INFERTILITY FEMALE,0.53,9.42
GENITAL ULCERATION,0.53,4.41
BILE DUCT STENOSIS,0.53,20.41
MAMMOGRAM ABNORMAL,0.53,7.93
EYE OEDEMA,0.53,12.50
ERYTHEMA NODOSUM,0.53,14.08
OEDEMA,0.53,16.32
VENOUS PRESSURE JUGULAR INCREASED,0.53,21.60
OTITIS MEDIA CHRONIC,0.52,49.47
UPPER RESPIRATORY TRACT INFECTION,0.52,11.48
PLANTAR ERYTHEMA,0.52,10.94
BLOOD URINE,0.52,19.99
ANOSOGNOSIA,0.52,9.33
PRIAPISM,0.52,25.95
SECONDARY ADRENOCORTICAL INSUFFICIENCY,0.52,8.42
HAEMOGLOBINAEMIA,0.52,33.23
CAROTID BRUIT,0.52,13.65
SPLEEN DISORDER,0.52,9.34
COLONIC POLYP,0.52,24.59
OVARIAN DISORDER,0.52,6.35
MACULAR OEDEMA,0.52,7.55
EYE HAEMORRHAGE,0.52,5.63
ASPARTATE AMINOTRANSFERASE INCREASED,0.52,20.13
ANAL INFLAMMATION,0.52,21.94
VITREOUS DETACHMENT,0.52,7.89
RETINITIS,0.52,29.91
RESPIRATORY DISORDER,0.52,17.34
URETERIC OBSTRUCTION,0.52,19.73
JUVENILE ARTHRITIS,0.52,11.16
HEART SOUNDS ABNORMAL,0.52,21.01
GESTATIONAL DIABETES,0.52,16.24
STRANGURY,0.52,10.96
ESSENTIAL HYPERTENSION,0.52,14.71
PROTHROMBIN LEVEL INCREASED,0.52,9.04
PELVIC INFLAMMATORY DISEASE,0.52,24.61
ERYTHROMELALGIA,0.52,20.80
NEUROFIBROMA,0.52,33.15
NEOPLASM RECURRENCE,0.52,17.54
GASTRODUODENITIS,0.52,10.90
DIPLOPIA,0.52,7.38
TRICHOTILLOMANIA,0.52,30.28
SKIN INFECTION,0.52,9.19
HAEMOGLOBINURIA,0.52,12.58
VULVAL DISORDER,0.52,8.29
SOFT TISSUE NECROSIS,0.52,25.61
POLYHYDRAMNIOS,0.52,17.15
RETINAL TEAR,0.52,24.61
INTESTINAL FUNCTIONAL DISORDER,0.52,18.21
HYPERCHOLESTEROLAEMIA,0.52,21.60
CHONDROCALCINOSIS PYROPHOSPHATE,0.52,13.48
AREFLEXIA,0.52,25.74
OSTEOPOROTIC FRACTURE,0.52,19.84
VOCAL CORD DISORDER,0.52,16.71
SCROTAL ULCER,0.52,2.93
CYTOMEGALOVIRUS INFECTION,0.52,5.76
LIPID METABOLISM DISORDER,0.52,14.96
SCLERAL DISORDER,0.52,10.51
MOVEMENT DISORDER,0.52,18.05
MUSCLE FIBROSIS,0.52,17.41
NEUROSIS,0.52,6.64
HYPOGLYCAEMIA NEONATAL,0.52,6.95
GAMMA-GLUTAMYLTRANSFERASE DECREASED,0.52,19.24
PALMAR-PLANTAR ERYTHRODYSAESTHESIA SYNDROME,0.52,2.42
DYSPNOEA EXERTIONAL,0.52,12.37
PREMATURE DELIVERY,0.51,3.71
PUNCTATE KERATITIS,0.51,29.04
VULVOVAGINAL DISORDER,0.51,12.65
AUTONOMIC NEUROPATHY,0.51,28.40
CONJUNCTIVAL HYPERAEMIA,0.51,1.35
PROSTATIC SPECIFIC ANTIGEN DECREASED,0.51,27.98
PUSTULAR PSORIASIS,0.51,19.00
ABDOMINAL HERNIA,0.51,7.69
ACUTE FEBRILE NEUTROPHILIC DERMATOSIS,0.51,10.91
INTESTINAL STENOSIS,0.51,6.99
GALLBLADDER DISORDER,0.51,8.21
AMNIOTIC CAVITY INFECTION,0.51,9.39
VAGINAL PROLAPSE,0.51,25.76
VAGINITIS ATROPHIC,0.51,15.43
FACIAL WASTING,0.51,28.43
CLOSTRIDIAL INFECTION,0.51,29.87
SALPINGITIS,0.51,10.81
RETINAL ARTERY OCCLUSION,0.51,7.51
LYMPHOCYTE COUNT DECREASED,0.51,24.92
CHOLESTASIS,0.51,15.01
SINUS ARREST,0.51,11.35
MYOGLOBINURIA,0.51,7.65
REFLEX SYMPATHETIC DYSTROPHY,0.51,2.53
BREAST ATROPHY,0.51,19.31
OCULAR HYPERAEMIA,0.51,18.03
ORCHITIS,0.51,21.53
SUBCUTANEOUS HAEMATOMA,0.51,29.46
AKATHISIA,0.51,12.24
TEMPORAL ARTERITIS,0.51,11.92
ANAEMIA MACROCYTIC,0.51,31.48
HYPERNATRAEMIA,0.51,27.21
FLOPPY INFANT,0.51,2.98
CONGENITAL FOOT MALFORMATION,0.51,10.06
HYPERPLASIA,0.51,43.27
PHARYNGEAL OEDEMA,0.51,14.53
PROSTATISM,0.51,16.52
VITREOUS OPACITIES,0.51,6.15
NEUROPATHY,0.51,22.73
NARCOLEPSY,0.51,12.65
DACRYOCANALICULITIS,0.51,17.25
URTICARIA VESICULOSA,0.51,19.94
RENAL PAIN,0.51,15.07
ALKALOSIS HYPOCHLORAEMIC,0.51,9.18
RETINAL VEIN THROMBOSIS,0.51,21.32
GRAVITATIONAL OEDEMA,0.51,7.73
CATARACT SUBCAPSULAR,0.51,15.65
SERUM FERRITIN INCREASED,0.51,9.57
PUPILLARY DISORDER,0.51,29.96
ACTINIC KERATOSIS,0.51,50.32
BLASTOMYCOSIS,0.51,29.71
DYSKINESIA,0.51,32.95
BRADYCARDIA,0.51,9.73
BRADYPHRENIA,0.51,9.33
CATARACT NUCLEAR,0.51,4.93
PELIOSIS HEPATIS,0.51,14.88
RECTAL ULCER,0.51,18.21
ANTIDIURETIC HORMONE ABNORMALITY,0.51,6.55
FIBROADENOMA,0.51,25.30
TYPE IV HYPERSENSITIVITY REACTION,0.51,17.14
COMPLEX REGIONAL PAIN SYNDROME,0.51,6.52
TYMPANIC MEMBRANE DISORDER,0.51,7.71
COLONIC OBSTRUCTION,0.51,21.09
CHOLELITHIASIS,0.51,14.89
URETHRAL PAIN,0.51,8.92
THROMBOPHLEBITIS SUPERFICIAL,0.51,19.29
RENAL CYST,0.51,16.98
GINGIVAL ULCERATION,0.51,11.79
PHLEBITIS,0.51,8.37
ALKALOSIS,0.51,2.00
NEUTROPHIL COUNT DECREASED,0.51,12.00
NORMOCHROMIC NORMOCYTIC ANAEMIA,0.50,41.03
VENOUS PRESSURE JUGULAR,0.50,20.19
PITYRIASIS LICHENOIDES ET VARIOLIFORMIS ACUTA,0.50,18.98
OSTEOPOROSIS,0.50,21.27
MONOCYTOSIS,0.50,19.88
MYCOBACTERIAL INFECTION,0.50,10.42
HYPOCAPNIA,0.50,42.25
LACTIC ACIDOSIS,0.50,5.19
PERIARTHRITIS,0.50,24.87
DECUBITUS ULCER,0.50,7.33
GASTRITIS EROSIVE,0.50,8.57
VAGINAL CYST,0.50,27.00
DERMATITIS BULLOUS,0.50,37.30
ERYTHEMA ANNULARE,0.50,15.34
FLOPPY IRIS SYNDROME,0.50,6.46
SENSORY LOSS,0.50,19.94
EXOSTOSIS,0.50,5.32
SEROMA,0.50,47.94
SCROTAL INFECTION,0.50,14.94
MYOTONIA,0.50,9.10
POLYMYALGIA,0.50,25.62
ENDOCRINE DISORDER,0.50,14.33
HERPES VIRUS INFECTION,0.50,4.53
CALCULUS BLADDER,0.50,11.46
ERYTHROPENIA,0.50,16.54
GASTROENTERITIS VIRAL,0.50,5.10
GASTRIC ATONY,0.50,14.33
VESTIBULAR DISORDER,0.50,27.11
VASCULAR RESISTANCE SYSTEMIC,0.50,7.37
HYPERURICAEMIA,0.50,11.65
COGNITIVE DISORDER,0.50,41.38
MELAENA,0.50,5.00
LIPOGRANULOMA,0.50,4.56
TRACHEAL DISORDER,0.50,2.89
BLOOD ALKALINE PHOSPHATASE INCREASED,0.50,11.40
HISTIOCYTOSIS,0.50,13.28
HYPOPARATHYROIDISM,0.50,23.64
PNEUMONIA,0.50,35.02
UTERINE LEIOMYOMA,0.50,7.65
PREGNANCY INDUCED HYPERTENSION,0.50,10.15
DYSARTHRIA,0.50,26.53
DERMOID CYST,0.50,45.48
ADRENOCORTICAL INSUFFICIENCY ACUTE,0.50,4.94
ANGINA PECTORIS,0.50,32.30
PHARYNGITIS STREPTOCOCCAL,0.50,12.55
SIMPLE PARTIAL SEIZURES,0.50,4.88
HYPERURICOSURIA,0.50,11.25
FAILED INDUCTION OF LABOUR,0.50,8.71
SUDDEN HEARING LOSS,0.50,7.97
PSYCHOSOMATIC DISEASE,0.50,16.95
ALVEOLAR OSTEITIS,0.50,9.41
URINARY TRACT PAIN,0.50,11.26
OESOPHAGEAL SPASM,0.50,11.71
ACHOLIA,0.50,14.86
PERICARDIAL RUB,0.50,11.59
HYPERBILIRUBINAEMIA,0.50,27.70
DYSPHAGIA,0.50,15.73
PROSTATIC PAIN,0.50,7.26
KERATOACANTHOMA,0.50,38.73
SICCA SYNDROME,0.50,10.20
LYMPHADENITIS,0.50,24.74
PARESIS,0.50,13.69
OCULAR SURFACE DISEASE,0.50,12.68
THYROIDITIS,0.50,14.32
PARADOXICAL PRESSOR RESPONSE,0.50,19.87
HELICOBACTER INFECTION,0.49,16.83
SMALL INTESTINAL OBSTRUCTION,0.49,35.28
ENDOMETRITIS,0.49,15.10
HYPOALBUMINAEMIA,0.49,43.02
CATAPLEXY,0.49,10.15
APNOEA,0.49,34.88
ALLERGIC OEDEMA,0.49,19.67
BRONCHOSPASM PARADOXICAL,0.49,9.02
RESPIRATORY DEPRESSION,0.49,25.01
OPTIC NEUROPATHY,0.49,8.03
FACIAL PARESIS,0.49,33.12
ELECTROCARDIOGRAM CHANGE,0.49,15.47
VASCULAR RESISTANCE PULMONARY INCREASED,0.49,15.28
ARTHRITIS BACTERIAL,0.49,17.63
GENITAL DISORDER MALE,0.49,23.84
GASTROINTESTINAL INFECTION,0.49,13.18
ILEAL ULCER,0.49,17.32
GROWTH HORMONE DEFICIENCY,0.49,9.51
BRONCHOSPASM,0.49,3.00
ABDOMINAL INFECTION,0.49,17.04
DELIRIUM,0.49,12.28
GOUTY ARTHRITIS,0.49,10.08
BACTERIAL PROSTATITIS,0.49,13.09
TONGUE ATROPHY,0.49,25.58
TOXIC SKIN ERUPTION,0.49,22.49
MIGRAINE WITH AURA,0.49,10.97
BILIARY COLIC,0.49,20.69
RESPIRATORY DISTRESS,0.49,15.40
ICHTHYOSIS,0.49,32.49
CORNEAL DEFECT,0.49,20.42
VENOUS STASIS,0.49,14.62
RETINAL OEDEMA,0.49,25.19
RETINOPATHY OF PREMATURITY,0.49,11.83
THYROID DISORDER,0.49,16.47
FACIAL NEURALGIA,0.49,25.76
PLEURAL EFFUSION,0.49,29.93
BLOOD GASES ABNORMAL,0.49,16.65
DYSPNOEA,0.49,22.13
MENINGIOMA BENIGN,0.49,33.99
DERMATOMYOSITIS,0.49,2.91
VENOUS INSUFFICIENCY,0.49,7.00
BLADDER STENOSIS,0.49,5.86
GASTRITIS,0.49,26.81
FACTOR VIII DEFICIENCY,0.49,6.59
FEBRILE CONVULSION,0.49,12.82
PELVIC ABSCESS,0.49,13.67
MASTITIS,0.49,20.29
DISSOCIATIVE DISORDER,0.49,26.00
HEPATIC STEATOSIS,0.49,15.81
HYPERPARATHYROIDISM,0.49,13.53
GLUCOSE-6-PHOSPHATE DEHYDROGENASE DEFICIENCY,0.49,12.52
PRE-ECLAMPSIA,0.49,17.11
BLOOD PRESSURE SYSTOLIC INCREASED,0.49,29.10
HYPOTHYROIDISM,0.49,18.60
DEVELOPMENTAL DELAY,0.49,5.75
CHOLANGITIS SCLEROSING,0.49,13.75
TONIC CLONIC MOVEMENTS,0.49,8.73
HELICOBACTER GASTRITIS,0.49,12.40
ARTERITIS,0.49,16.91
VULVAL ERYTHEMA,0.49,30.28
TONGUE PARALYSIS,0.49,12.44
ELECTROENCEPHALOGRAM ABNORMAL,0.49,11.57
PSYCHOMOTOR SKILLS IMPAIRED,0.49,7.84
PROSTATITIS,0.49,12.37
PEMPHIGUS,0.49,10.39
CONJUNCTIVAL HAEMORRHAGE,0.49,18.89
BURSITIS,0.49,3.64
IMPAIRED GASTRIC EMPTYING,0.49,16.73
GENITAL CANDIDIASIS,0.48,10.56
HYPOGONADISM,0.48,2.64
OPEN ANGLE GLAUCOMA,0.48,25.90
PERINEAL PAIN,0.48,24.32
PLEURITIC PAIN,0.48,24.37
OCHRONOSIS,0.48,21.96
LEUKODERMA,0.48,22.75
SCLERITIS,0.48,3.78
LYMPHANGITIS,0.48,8.63
LISTERIOSIS,0.48,17.85
CYSTOID MACULAR OEDEMA,0.48,4.07
IDIOPATHIC PNEUMONIA SYNDROME,0.48,13.82
HYPERLACTACIDAEMIA,0.48,21.35
HEPATIC ENZYME INCREASED,0.48,4.53
SACROILIITIS,0.48,4.50
NEPHROCALCINOSIS,0.48,7.42
EFFUSION,0.48,2.83
ESSENTIAL TREMOR,0.48,32.15
PLACENTAL DISORDER,0.48,6.28
VOCAL CORD PARALYSIS,0.48,32.77
ALANINE AMINOTRANSFERASE INCREASED,0.48,15.78
LOWER RESPIRATORY TRACT INFECTION,0.48,12.83
MACROCYTOSIS,0.48,7.35
PENILE SWELLING,0.48,10.71
CLEFT PALATE,0.48,18.64
CLOSTRIDIUM COLITIS,0.48,5.81
MELANOCYTIC NAEVUS,0.48,21.02
ELASTOSIS PERFORANS,0.48,20.85
CONNECTIVE TISSUE INFLAMMATION,0.48,12.00
BREAST CYST,0.48,15.53
SOMATOFORM DISORDER,0.48,30.68
SCLERAL HAEMORRHAGE,0.48,9.46
KLEBSIELLA INFECTION,0.48,8.12
GESTATIONAL HYPERTENSION,0.48,21.41
SYNCOPE,0.48,14.95
BLADDER DIVERTICULUM,0.48,23.62
PEPTIC ULCER,0.48,27.67
OVARIAN HYPERSTIMULATION SYNDROME,0.48,6.54
BILIARY TRACT DISORDER,0.48,10.43
PERITONSILLAR ABSCESS,0.48,18.78
CARDIAC MURMUR,0.48,8.92
FLUID OVERLOAD,0.48,19.46
LIPIDOSIS,0.48,19.21
ALVEOLITIS ALLERGIC,0.48,16.74
HYPERTENSION,0.48,8.71
ELECTROCARDIOGRAM ST SEGMENT ELEVATION,0.48,10.22
SEBACEOUS GLAND DISORDER,0.48,8.04
REBOUND HYPERTENSION,0.48,14.32
HYPOPNOEA,0.48,12.83
CHONDROCALCINOSIS,0.48,31.69
CYCLOPLEGIA,0.48,7.04
VESICOURETERIC REFLUX,0.48,10.26
GASTROINTESTINAL CANDIDIASIS,0.48,26.33
HAEMATURIA,0.48,7.65
OCULOGYRIC CRISIS,0.48,6.49
HYPERPROTEINAEMIA,0.48,12.76
HYPOPROTEINAEMIA,0.48,34.04
SICK SINUS SYNDROME,0.48,17.25
INFECTIOUS MONONUCLEOSIS,0.48,4.24
CLOSTRIDIUM DIFFICILE COLITIS,0.48,18.25
OESOPHAGEAL DISORDER,0.48,15.67
INSULIN RESISTANCE,0.48,17.99
OPPORTUNISTIC INFECTION,0.48,9.60
CHOREOATHETOSIS,0.47,16.18
ANURIA,0.47,23.14
DISEASE PROGRESSION,0.47,20.41
CORNEAL INFECTION,0.47,5.86
RECTAL POLYP,0.47,11.97
CHOLECYSTITIS ACUTE,0.47,24.30
HYPERINSULINISM,0.47,12.33
HAEMANGIOMA CONGENITAL,0.47,15.00
CHEST WALL PAIN,0.47,32.17
UNRESPONSIVE TO STIMULI,0.47,4.36
BRONCHIECTASIS,0.47,12.42
AMNESIA,0.47,40.64
PROSTATE INFECTION,0.47,16.05
ALBUMINURIA,0.47,20.82
HYPERMAGNESAEMIA,0.47,15.15
KERATITIS,0.47,18.87
CORNEAL DEPOSITS,0.47,4.17
METABOLIC ACIDOSIS,0.47,9.87
PSEUDOMONAS INFECTION,0.47,16.49
FAT EMBOLISM,0.47,4.02
HYPERSPLENISM,0.47,2.36
HEREDITARY DISORDER,0.47,33.39
FISTULA,0.47,6.94
TORTICOLLIS,0.47,17.31
AUTISTIC DISORDER,0.47,27.04
HAEMOGLOBIN ABNORMAL,0.47,13.15
SUBILEUS,0.47,33.31
SEXUALLY TRANSMITTED DISEASE,0.47,30.72
UTERINE ENLARGEMENT,0.47,6.36
NEUROGENIC BLADDER,0.47,2.24
INTERMITTENT CLAUDICATION,0.47,35.18
HAEMANGIOMA,0.47,5.10
INJECTION SITE NECROSIS,0.47,1.32
HYDROURETER,0.47,12.51
PAPILLOMA,0.47,2.20
BRONCHIOLITIS,0.47,36.60
UNINTENDED PREGNANCY,0.47,7.05
PRURITUS GENITAL,0.47,20.90
CAPILLARY PERMEABILITY,0.47,13.62
FIBROADENOMA OF BREAST,0.47,25.53
VENOUS OCCLUSION,0.47,19.75
GASTROENTERITIS,0.47,14.85
SMEAR CERVIX ABNORMAL,0.47,12.30
SALMONELLOSIS,0.47,16.39
TOOTH ABSCESS,0.47,9.92
MOTOR DYSFUNCTION,0.47,16.95
DYSLIPIDAEMIA,0.47,9.72
IRIS ADHESIONS,0.47,16.02
SYNOVIAL CYST,0.47,17.78
XERODERMA,0.47,1.28
CONJUNCTIVAL OEDEMA,0.47,7.31
COSTOCHONDRITIS,0.47,17.66
OXYGEN SATURATION DECREASED,0.47,5.41
SUBSTANCE ABUSE,0.47,10.78
VASCULITIS,0.47,32.00
PLEURAL DISORDER,0.47,7.42
DEAFNESS TRANSITORY,0.47,26.47
URETHRAL SYNDROME,0.47,10.69
CORNEAL INFILTRATES,0.47,4.57
CHONDROPATHY,0.47,17.90
SUPERINFECTION,0.47,12.63
ORTHOPNOEA,0.47,7.99
HYPERAESTHESIA,0.47,14.01
ACTIVATED PARTIAL THROMBOPLASTIN TIME PROLONGED,0.46,26.39
TERMINAL INSOMNIA,0.46,4.77
ELECTROCARDIOGRAM QT PROLONGED,0.46,24.05
ASPERGILLOSIS,0.46,30.11
LARYNGEAL DISORDER,0.46,13.07
ADENOMA BENIGN,0.46,9.87
LIVEDO RETICULARIS,0.46,22.74
LIPOMA,0.46,23.84
ANGIOEDEMA,0.46,24.47
CONGENITAL SKIN DISORDER,0.46,26.09
PENILE OEDEMA,0.46,6.09
HYPOLIPIDAEMIA,0.46,9.79
HYPERPHAGIA,0.46,28.32
HEARING IMPAIRED,0.46,15.45
GALLBLADDER POLYP,0.46,9.69
CHORIORETINITIS,0.46,5.57
GASTRIC DILATATION,0.46,4.21
BONE DISORDER,0.46,15.57
POSTICTAL STATE,0.46,5.70
MUCOCUTANEOUS CANDIDIASIS,0.46,8.25
HYPERLIPIDAEMIA,0.46,17.54
BALANOPOSTHITIS,0.46,31.66
MONARTHRITIS,0.46,22.46
HERPES ZOSTER,0.46,17.73
DENTOFACIAL ANOMALY,0.46,5.24
CERVIX DISORDER,0.46,24.72
INJECTION SITE HAEMORRHAGE,0.46,17.78
GASTROENTERITIS BACTERIAL,0.46,17.99
HERNIA,0.46,18.41
BREAST INFECTION,0.46,8.39
COLITIS MICROSCOPIC,0.46,3.88
TENDINOUS CONTRACTURE,0.46,41.67
EAR HAEMORRHAGE,0.46,26.20
INTRAOCULAR PRESSURE INCREASED,0.46,20.21
GENERALISED OEDEMA,0.46,11.58
ILEUS,0.46,34.03
POLYSEROSITIS,0.46,11.94
ATRIAL FLUTTER,0.46,13.19
